Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           Fiducial_mark           190mm         230mm         190mm         230mm         190mm         230mm  T          0.00                
           Fiducial_mark           190mm          15mm         190mm          15mm         190mm          15mm  T          0.00                
           Fiducial_mark            -5mm          15mm          -5mm          15mm          -5mm          15mm  T          0.00                
U5         SOIC8              102.9996mm     47.0003mm    102.9996mm     47.0003mm    101.0946mm     49.4502mm  B        270.00 24C128         
U6         PQFN50P300X200X75_HS-9L        34.1mm        26.3mm        34.1mm        26.3mm      34.975mm       27.05mm  B        270.00 LT3591EDDB     
Y1         CRYSTAL_3.2X2.5MM_4P_SMD        87.4mm        92.5mm        87.4mm        92.5mm     86.5999mm     91.4002mm  B         90.00 16MHz          
C23        0603_[1608]         62.1998mm       74.85mm        62.2mm       74.85mm     62.8998mm       74.85mm  B        180.00 100nF          
J11        fcc-zif_10pin_0.5mm       161.5mm          65mm       161.5mm          65mm      163.75mm       65.99mm  B        180.00 Capacitive Touch
R46        0603_[1608]             162mm     70.0002mm         162mm          70mm         162mm     69.3002mm  B         90.00 0R             
R48        0603_[1608]             159mm     70.0002mm         159mm          70mm         159mm     69.3002mm  B         90.00 0R             
R49        0603_[1608]             165mm     70.0002mm         165mm          70mm         165mm     69.3002mm  B         90.00 0R             
R50        0603_[1608]           160.5mm     70.0002mm       160.5mm          70mm       160.5mm     69.3002mm  B         90.00 0R             
R51        0603_[1608]           143.5mm     70.0002mm       143.5mm          70mm       143.5mm     69.3002mm  B         90.00 0R             
R52        0603_[1608]             156mm     70.0002mm         156mm          70mm         156mm     69.3002mm  B         90.00 0R             
R53        0603_[1608]         60.4998mm       88.25mm        60.5mm       88.25mm     61.1998mm       88.25mm  B        180.00 0R             
R54        0603_[1608]         56.4998mm       88.25mm        56.5mm       88.25mm     57.1998mm       88.25mm  B        180.00 0R             

